2018.Minyomerus_tylotos,!,2015.Minyomerus_gravivultus,inferred
2018.Minyomerus_tylotos,!,2015.Minyomerus_griseus,inferred
2018.Minyomerus_tylotos,!,2015.Minyomerus_imberbus,inferred
2018.Minyomerus_tylotos,!,2015.Minyomerus_languidus,inferred
2018.Minyomerus_tylotos,!,2015.Minyomerus_laticeps,inferred
2018.Minyomerus_tylotos,!,2015.Minyomerus_microps,inferred
2018.Minyomerus_tylotos,!,2015.Minyomerus_politus,inferred
2018.Minyomerus_tylotos,!,2015.Minyomerus_puticulatus,inferred
2018.Minyomerus_tylotos,!,2015.Minyomerus_reburrus,inferred
2018.Minyomerus_tylotos,!,2015.Minyomerus_rutellirostris,inferred
2018.Minyomerus_tylotos,!,2015.Minyomerus_trisetosus,inferred
2018.Minyomerus_tylotos,{=, >, <, !, ><},2015.nc_Minyomerus,inferred
2018.nc_Minyomerus,{=, >, <, !, ><},2015.Minyomerus,inferred
2018.nc_Minyomerus,{=, >, <, !, ><},2015.nc_Minyomerus,inferred
2018.Minyomerus,=,2015.Minyomerus,input
2018.Minyomerus_ampullaceus,<,2015.Minyomerus,input
2018.Minyomerus_franko,<,2015.Minyomerus,input
2018.Minyomerus_sculptilis,<,2015.Minyomerus,input
2018.Minyomerus_tylotos,<,2015.Minyomerus,input
2018.nc_Minyomerus,>,2015.Minyomerus_aeriballux,input
2018.nc_Minyomerus,>,2015.Minyomerus_bulbifrons,input
2018.nc_Minyomerus,>,2015.Minyomerus_caseyi,input
2018.nc_Minyomerus,>,2015.Minyomerus_conicollis,input
2018.nc_Minyomerus,>,2015.Minyomerus_constrictus,input
2018.nc_Minyomerus,>,2015.Minyomerus_cracens,input
2018.nc_Minyomerus,>,2015.Minyomerus_gravivultus,input
2018.nc_Minyomerus,>,2015.Minyomerus_griseus,input
2018.nc_Minyomerus,>,2015.Minyomerus_imberbus,input
2018.nc_Minyomerus,>,2015.Minyomerus_languidus,input
2018.nc_Minyomerus,>,2015.Minyomerus_laticeps,input
2018.nc_Minyomerus,>,2015.Minyomerus_microps,input
2018.nc_Minyomerus,>,2015.Minyomerus_politus,input
2018.nc_Minyomerus,>,2015.Minyomerus_puticulatus,input
2018.nc_Minyomerus,>,2015.Minyomerus_reburrus,input
2018.nc_Minyomerus,>,2015.Minyomerus_rutellirostris,input
2018.nc_Minyomerus,>,2015.Minyomerus_trisetosus,input
